nome,level,Troféus,papel
Vortic,13,5611,member
LEÓNIDAS,13,5337,elder
KCG៛¤₪KauanFL₪¤,12,5309,member
☆JOTTACLASH☆,12,5231,member
Maves,13,5222,member
Ishikawa_F,13,5185,elder
dani rei,12,5183,member
SPA Bmartiins,13,5157,member
⚔Fernando⚔,13,5076,member
Jr. Fênix,13,5071,leader
Galo,12,5043,member
A.L.A.N,13,5033,member
GéH BeLo,13,5025,coLeader
Lucas Anzai,13,5015,member
Maximus,13,4999,coLeader
◇GuILheRmiEazY◇,12,4991,member
SPA Amargedon,13,4952,member
lord fire,12,4929,member
Gleidson,12,4926,member
paula,13,4910,member
lela,13,4907,coLeader
Lord Balazic,12,4900,member
Diogova\o/,12,4865,member
L&0n@rDo,12,4854,member
::.Isaac.::,12,4851,member
"""Maicon XT""",11,4850,member
RB,13,4840,elder
L1Z4NDR0,13,4834,member
Zort,12,4816,member
rogeriohara,11,4789,member
THChmap,11,4774,elder
vem tranquilo ✌,11,4768,member
Lincoln,11,4765,member
Júnior tsedek,10,4736,member
XxwilliangamexX,12,4730,member
⚡H E N R Y⚡,13,4729,elder
Ezequiel thg,13,4709,coLeader
felipe,13,4705,member
dougparanagua,12,4693,member
Edusvieira,13,4656,elder
mutunzinho,12,4648,elder
Guii,11,4635,member
Renato A.,13,4591,member
F0nsek,10,4580,member
♦️♠️MeLiOdAs♥️♣,12,4570,member
TilapiaNoEspeto,13,4479,elder
lucas,11,4464,member
itachi,10,4456,member
Theobaldo_br,13,4326,member
Enzo,10,4280,member
